id,pn,num,company_name,aog_status,create_time,PNR_ID
8879,67600014-1,1.0,幸福航空有限责任公司,Confirm,2021-10-03 07:41:14,21-5X-40
9144,7121-19971-01AC,2.0,中国邮政航空有限责任公司,Done,2021-10-05 18:34:07,21-3x-02
9149,67600014-1,1.0,厦门航空有限公司,Done,2021-10-05 20:46:59,21-5X-11
9149,67600014-1,1.0,厦门航空有限公司,Done,2021-10-05 20:46:59,21-5X-40
9254,214C50-2,2.0,中国邮政航空有限责任公司,Confirm,2021-10-06 19:39:34,21-3x-09
9352,2215510-1,1.0,北京飞机维修工程有限公司重庆分公司,Confirm,2021-10-07 23:34:54,21-5X-05
9353,2215490-1,1.0,北京飞机维修工程有限公司重庆分公司,Confirm,2021-10-07 23:34:54,21-5X-05
10552,645405-2,1.0,瑞丽航空有限公司,Done,2021-10-15 11:15:00,21-2x-16
11102,67600014-1,1.0,瑞丽航空有限公司,Confirm,2021-10-19 14:31:36,21-5X-11
11102,67600014-1,1.0,瑞丽航空有限公司,Confirm,2021-10-19 14:31:36,21-5X-40
11431,116817-5,1.0,海航航空技术有限公司,Confirm,2021-10-21 10:25:21,21-4X-01
11684,69-2914-25,1.0,北京飞机维修工程有限公司重庆分公司,Confirm,2021-10-22 17:13:30,21-2x-01-A
11856,398908-5,1.0,东海航空有限公司,Confirm,2021-10-23 18:50:18,21-5X-35
11856,398908-5,1.0,东海航空有限公司,Confirm,2021-10-23 18:50:18,21-6X-19
11904,645405-2,1.0,山东航空股份有限公司,Done,2021-10-24 08:23:52,21-2x-16
12235,213A3420-8,1.0,海航航空技术有限公司,Confirm,2021-10-26 07:36:18,21-5X-12-A
12255,WL501RC1,1.0,中国邮政航空有限责任公司,Confirm,2021-10-26 10:00:01,21-3x-07-A
12482,2215280-1,1.0,幸福航空有限责任公司,Confirm,2021-10-27 14:38:02,21-5X-04
12653,213A3420-7,1.0,海航航空技术有限公司,Confirm,2021-10-28 14:13:18,21-5X-12-A
12654,213A3420-8,1.0,海航航空技术有限公司,Confirm,2021-10-28 14:13:18,21-5X-12-A
13509,3202444-1,1.0,深圳航空有限责任公司,Confirm,2021-11-03 11:10:55,21-6X-17
13670,645242-1,1.0,昆明航空有限公司,Confirm,2021-11-04 13:48:12,21-2x-28
13736,396608-1,1.0,九元航空有限公司,Done,2021-11-04 17:07:21,21-5X-03
14250,214C50-2,1.0,中国邮政航空有限责任公司,Confirm,2021-11-08 21:21:55,21-3x-09
14251,396608-1,1.0,厦门航空有限公司,Confirm,2021-11-08 21:23:15,21-5X-03
14556,7123-19973-03AB,1.0,昆明飞安航空训练有限公司,Done,2021-11-10 18:28:04,21-3X-01
15206,398908-3,1.0,东海航空有限公司,Confirm,2021-11-15 14:00:49,21-5X-35
15206,398908-3,1.0,东海航空有限公司,Confirm,2021-11-15 14:00:49,21-6X-19
15425,645242-1,1.0,昆明航空有限公司,Confirm,2021-11-16 13:50:20,21-2x-28
15772,1019439-1-001,1.0,山东航空股份有限公司,Confirm,2021-11-18 17:34:24,21-3X-01
15781,541674-4,1.0,九元航空有限公司,Done,2021-11-18 20:51:04,21-5X-11
15781,541674-4,1.0,九元航空有限公司,Done,2021-11-18 20:51:04,21-5X-40
16396,65-52810-64,1.0,中原龙浩航空有限公司,Confirm,2021-11-23 22:57:35,21-5X-02
16631,645242-1,1.0,瑞丽航空有限公司,Done,2021-11-25 08:55:39,21-2x-28
16665,645242-1,1.0,瑞丽航空有限公司,Done,2021-11-25 12:49:15,21-2x-28
16797,622814-5,1.0,中原龙浩航空有限公司,Confirm,2021-11-25 19:38:25,21-6X-14
16879,645242-1,1.0,北京飞机维修工程有限公司呼和浩特分公司,Confirm,2021-11-26 15:12:25,21-2x-28
17041,541674-4,1.0,九元航空有限公司,Confirm,2021-11-27 17:56:43,21-5X-11
17041,541674-4,1.0,九元航空有限公司,Confirm,2021-11-27 17:56:43,21-5X-40
18364,398908-3,1.0,九元航空有限公司,Confirm,2021-12-06 15:37:33,21-5X-35
