"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
CA,3,"4010013287",POW, ,"20110822",OS07217001,USD, ,"1153222-2",6848,20544
MU,1,"11KG77571",POW,NOR,"20111027","0000003131",USD,B737NG,"1153222-2",6848,6848
MU,2,"14SG79031",POW,NOR,"20140410","0000001347",USD,B777-300ER,"1153222-2",8065.97,16131.94
MU,1,"17GX78530",POW,CRT,"20170710","0000001346",USD,B737NG,"1153222-2",9875.98,9875.98
MU,1,"7800000543",PON,CRT,"20150928","1000000004",RMB, ,"123266-2-1",48717.95,48717.95
MU,1,"7800000576",PON,CRT,"20151012","1000000004",RMB, ,"123266-2-1",43685.85,43685.85
CA,1,"4010018860",POW,NOR,"20130225",OS70210001,USD, ,"123266-2-1",4972,4972
MU,1,"11KX73760",POW,EXP,"20111012","0000003131",USD,B737-300,"183010-4",20100,20100
MU,1,"7800000576",PON,CRT,"20151012","1000000004",RMB, ,"20798-01",1367.52,1367.52
MU,1,"7800000590",PON,CRT,"20151016","1000000004",RMB, ,"20798-01",13054.27,13054.27
CA,1,"4010003996",POW, ,"20090520",CS00042,USD, ,"21230-03AC",106506.36,106506.36
CA,1,"4010012296",POW, ,"20110525",CS00042,USD, ,"21230-03AC",115440.12,115440.12
CA,1,"4010020200",POW,NOR,"20130726",CS00042,USD, ,"21230-03AC",131976.32,131976.32
MU,1,"7800000416",PON, ,"20150731","0000001469",RMB, ,"21230-10BA",3352.26,3352.26
MU,1,"1600044126",POW,CRT,"20190517","0000001548",USD,B737NG,"21230-10BA",147511.02,147511.02
MU,1,"12GX73017",POW,CRT,"20120111","0000001143",USD,B737NG,"213A3420-7",16500,16500
MU,1,"12GX73608",POW,NOR,"20121010","0000001143",USD,B737NG,"213A3420-7",15000,15000
MU,1,"12ZX77241",POW,NOR,"20121011","0000001143",USD,B737NG,"213A3420-7",15000,15000
MU,1,"1600121071",POW,EXP,"20191219","0000001143",USD,B737NG,"213A3420-7",20007,20007
MU,1,"12ZX77241",POW,NOR,"20121011","0000001143",USD,B737NG,"213A3420-8",12000,12000
CA,1,"4010006810",POW, ,"20100221",CS00066,USD, ,"214C50-2",995.67,995.67
CA,2,"4010008644",POW, ,"20100709",CS00042,USD, ,"214C50-2",740,1480
MU,1,"11GX78004",POW,AOG,"20110613","0000001143",USD,B737NG,"214C50-2",962,962
