"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
MU,2,"12KX78013",POW,CRT,"20120911","0000001347",USD,B737NG,"622878-2",2275,4550
MU,1,"13YX77072",POW,EXP,"20130503","0000001347",USD,B737NG,"622878-2",2434.5,2434.5
MU,1,"13YX77176",POW,EXP,"20130724","0000001347",USD,B737NG,"622878-2",2434.5,2434.5
MU,1,"15GX78026",POW,EXP,"20150204","0000001347",USD,B737NG,"622878-2",2614.99,2614.99
MU,1,"15GX78163",POW,EXP,"20150714","0000001347",USD,B737NG,"622878-2",2614.99,2614.99
MU,2,"15GX78447",POW,EXP,"20151230","0000001347",USD,B737NG,"622878-2",2754.01,5508.02
MU,1,"16YX77096",POW,CRT,"20160309","0000001347",USD,B737NG,"622878-2",2754.01,2754.01
MU,2,"16YX77369",POW,NOR,"20160930","0000001347",USD,B737NG,"622878-2",2754.01,5508.02
MU,2,"17YX77476",POW,EXP,"20170823","0000001346",USD,B737NG,"622878-2",2875.19,5750.38
MU,2,"17GX78737",POW,CRT,"20171208","0000001346",USD,B737NG,"622878-2",2875.19,5750.38
MU,1,"18GX73508",POW,CRT,"20180816","0000001346",USD,B737NG,"622878-2",2975.82,2975.82
MU,1,"18KX77783",POW,NOR,"20180926","0000001346",USD,B737NG,"622878-2",2975.82,2975.82
MU,5,"1100009292",POW,CRT,"20190518","0000001143",USD,B737NG,"622878-2",3864,19320
MU,2,"16GX73362",POW,CRT,"20160624","0000003131",USD,B737NG,"63396754-1",79902.27,159804.54
CA,2,"4010036114",POW,CRT,"20170811",OS70210001,USD, ,"641121-1",2346.88,4693.76
CA,1,"4010016888",POW,NOR,"20120723",OS70210001,USD, ,"641172-1",1505,1505
MU,1,"13YX77198",POW,EXP,"20130809","0000001143",USD,B737NG,"641172-1",1869,1869
MU,1,"13GX78330",POW,CRT,"20130804","0000003135",USD,B737NG,"67600014-1",42812,42812
MU,3,"1600118226",POW,EXP,"20191211","0000003131",USD,B737NG,"67600014-1",40488.54,121465.62
MU,1,"1100036237",POW,AOG,"20210914","0000003586",USD,B777-200F,ES210-1632,100,100
MU,5,"1600047893",POW,CRT,"20190528","0000001346",USD,B737NG,"622878-2",3088.9,15444.5
MU,1,"1600047889",POW,CRT,"20190528","0000008027",USD,B737NG,"645242-1",23204.22,23204.22
MU,1,"1600067203",POW,CRT,"20190717","0000001346",USD,B737NG,"622878-2",3088.9,3088.9
MU,2,"1600069456",POW,CRT,"20190723","0000001346",USD,B737NG,"622878-2",3088.9,6177.8
MU,1,"1600072500",POW,CRT,"20190731","0000001346",USD,B737NG,"622878-2",3088.9,3088.9
MU,2,"1600105427",POW,CRT,"20191107","0000001346",USD,B737NG,"622878-2",3088.9,6177.8
MU,2,"1600119008",POW,NOR,"20191213","0000001346",USD,B737NG,"622878-2",3088.9,6177.8
MU,1,"1600183623",POW,EXP,"20200810","0000001346",USD,B737NG,"622878-2",3206.28,3206.28
MU,2,"1600187124",POW,CRT,"20200821","0000001346",USD,B737NG,"622878-2",3206.28,6412.56
MU,8,"1810004635",POW,EXP,"20230821","0000001614",USD,B737NG,"622878-2",3637.8,29102.4
MU,1,"2100051278",PON,NOR,"20180830","1000000101",RMB,B737NG,"624018-1",13808.27,13808.27
CA,2,"4010006667",POW, ,"20100204",OS70210001,USD, ,"624018-1",1289,2578
CA,3,"4010014391",POW, ,"20111128",OS07217001,USD, ,"624018-1",1400,4200
MU,3,"11GX78813",POW,CRT,"20111226","0000003131",USD,B737NG,"624018-1",1400,4200
MU,8,"12GX76266",POW,NOR,"20120331","0000001347",USD,B767-300,"624018-1",1479,11832
MU,1,"12GX78324",POW,NOR,"20120521","0000001347",USD,B737NG,"624018-1",1479,1479
MU,2,"12YX77296",POW,EXP,"20121205","0000003131",USD,B737NG,"624018-1",1479,2958
MU,1,"13GX78183",POW,NOR,"20130409","0000001347",USD,B737NG,"624018-1",1597.5,1597.5
CA,2,"4010024368",POW,NOR,"20140805",OS70210001,USD, ,"624018-1",1661.5,3323
MU,1,"15GX78174",POW,EXP,"20150526","0000001347",USD,B737NG,"624018-1",1724.47,1724.47
MU,1,"16YX77329",POW,NOR,"20160831","0000001347",USD,B737NG,"624018-1",1817.53,1817.53
MU,1,"16KX77484",POW,CRT,"20160930","0000001347",USD,B737NG,"624018-1",1817.53,1817.53
MU,2,"16YX77413",POW,EXP,"20161107","0000001113",USD,B737NG,"624018-1",3313,6626
MU,1,"17KX77829",POW,CRT,"20171101","0000001346",USD,B737NG,"624018-1",1859.55,1859.55
MU,1,"18GX78088",POW,CRT,"20180201","0000001346",USD,B737NG,"624018-1",1859.55,1859.55
MU,1,"18KX77146",POW,CRT,"20180228","0000001346",USD,B737NG,"624018-1",1859.55,1859.55
MU,2,"18GB70108",POW,EXP,"20180314","0000008027",USD,B737NG,"624018-1",1859.55,3719.1
MU,1,"18GX73228",POW,CRT,"20180531","0000001346",USD,B737NG,"624018-1",1859.55,1859.55
MU,2,"18GX78618",POW,EXP,"20180705","0000001346",USD,B737NG,"624018-1",1859.55,3719.1
MU,5,"18GX73384",POW,EXP,"20180716","0000001346",USD,B737NG,"624018-1",1859.55,9297.75
MU,2,"1600075539",POW,CRT,"20190808","0000001346",USD,B737NG,"624018-1",1924.64,3849.28
MU,2,"1600075496",POW,NOR,"20190808","0000001346",USD,B737NG,"624018-1",1924.64,3849.28
MU,4,"1600082279",POW,NOR,"20190829","0000001346",USD,B737NG,"624018-1",1924.64,7698.56
MU,3,"1600089852",POW,EXP,"20190920","0000001346",USD,B737NG,"624018-1",1924.64,5773.92
MU,2,"1600105348",POW,CRT,"20191107","0000001346",USD,B737NG,"624018-1",1924.64,3849.28
MU,1,"1600111424",POW,EXP,"20191125","0000001346",USD,B737NG,"624018-1",2001.62,2001.62
MU,1,"1810005362",POW,CRT,"20230829","0000001614",USD,B737NG,"624018-1",2543.53,2543.53
MU,2,"16GX73260",POW,NOR,"20160602","0000003131",USD,B737NG,"63396754-1",79902.27,159804.54
MU,2,"16GX73347",POW,NOR,"20160623","0000003135",USD,B737NG,"63396754-1",79902.27,159804.54
MU,1,"16GX73296",POW,CRT,"20160623","0000001143",USD,B737NG,"63396754-1",77683,77683
MU,2,"16GX73369",POW,AOG,"20160624","0000003131",USD,B737NG,"63396754-1",79902.27,159804.54
MU,1,"16GX73413",POW,CRT,"20160711","0000003131",USD,B737NG,"63396754-1",79902.27,79902.27
MU,2,"16GX73800",POW,NOR,"20170113","0000003135",USD,B737NG,"63396754-2",79902.26,159804.52
MU,1,"16GX73800",POW,NOR,"20170113","0000003135",USD,B737NG,"67200060-1",20795.5,20795.5
CA,4,"4010006022",POW, ,"20091210",OS72914001,USD, ,"641121-1",1646,6584
MU,1,"12GX78123",POW,NOR,"20120224","0000003135",USD,B737NG,"641121-1",1893,1893
MU,2,"13KX77419",POW,CRT,"20130627","0000003135",USD,B737NG,"641121-1",1959.5,3919
MU,6,"14GX76154",POW,AOG,"20140604","0000003135",USD,B767-300,"641121-1",2088.44,12530.64
MU,2,"14KX77302",POW,NOR,"20140606","0000003135",USD,B737NG,"641121-1",2088.44,4176.88
MU,1,"16GX78169",POW,EXP,"20160316","0000003135",USD,B737NG,"641121-1",2247.97,2247.97
MU,1,"1600050196",POW,EXP,"20190603","0000001143",USD,B737NG,"641121-1",2817.94,2817.94
CA,2,"4010044816",POW,NOR,"20190812",OS70210001,USD, ,"641121-1",2521.32,5042.64
MU,1,"1600083369",POW,NOR,"20190902","0000008027",USD,B737NG,"641121-1",2521.32,2521.32
CA,2,"4020000283",PON, ,"20080701",CS201110,RMB, ,"641172-1",13400,26800
MU,2,"12GX78702",POW,NOR,"20121205","0000003135",USD,B737NG,"641172-1",1505,3010
MU,1,"13GX78306",POW,NOR,"20130730","0000003135",USD,B737NG,"641172-1",1557.5,1557.5
MU,1,"14GB70003",POW,EXP,"20140117","0000003135",USD,B737NG,"641172-1",1659.98,1659.98
MU,1,"14MX73046",POW,CRT,"20140129","0000003135",USD,B737NG,"641172-1",1659.98,1659.98
MU,1,"14GX71127",POW,CRT,"20140312","0000003135",USD,B737NG,"641172-1",1659.98,1659.98
MU,2,"14SP95100",POW,AOG,"20140417","0000003131",USD,B737NG,"641172-1",1659.98,3319.96
MU,1,"14GX73431",POW,EXP,"20141202","0000003135",USD,B737NG,"641172-1",1659.98,1659.98
MU,1,"15YX77166",POW,NOR,"20150702","0000003135",USD,B737NG,"641172-1",1718.08,1718.08
MU,2,"15GX78209",POW,EXP,"20150715","0000003325",USD,B737NG,"641172-1",1650,3300
MU,1,"17YX77323",POW,EXP,"20170217","0000003135",USD,B737NG,"641172-1",1889.03,1889.03
MU,1,"18YX77014",POW,CRT,"20180112","0000008027",USD,B737NG,"641172-1",1955.15,1955.15
MU,1,"1600075635",POW,CRT,"20190808","0000008027",USD,B737NG,"641172-1",2029.44,2029.44
MU,2,"1600298372",POW,CRT,"20210820","0000001614",USD,B737NG,"641172-1",2180,4360
CA,1,"4010012024",POW, ,"20110513",OS58960001,USD, ,"645242-1",18597,18597
MU,1,"1600043763",POW,CRT,"20190517","0000008027",USD,B737NG,"645242-1",23204.22,23204.22
MU,1,"1600048775",POW,CRT,"20190530","0000003131",USD,B737NG,"645242-1",19000,19000
MU,2,"1600053933",POW,CRT,"20190613","0000008027",USD,B737NG,"645242-1",23204.22,46408.44
MU,2,"1100010148",POW,NOR,"20190619","0000008027",USD,B737NG,"645242-1",23204.22,46408.44
MU,2,"1100010149",POW,NOR,"20190619","0000008027",USD,B737NG,"645242-1",23204.22,46408.44
MU,1,"1100010310",POW,CRT,"20190625","0000004014",USD,B737NG,"645242-1",11000,11000
MU,1,"1100010310",POW,CRT,"20190625","0000004014",USD,B737NG,"645242-1",20000,20000
MU,2,"1600068868",POW,CRT,"20190722","0000008027",USD,B737NG,"645242-1",23204.22,46408.44
MU,2,"1600117732",POW,CRT,"20191210","0000003131",USD,B737NG,"645242-1",23204.22,46408.44
MU,2,"1600198472",POW,CRT,"20200930","0000008027",USD,B737NG,"645242-1",24085.98,48171.96
MU,2,"1600240462",POW,EXP,"20210218","0000008027",USD,B737NG,"645242-1",25410.52,50821.04
MU,2,"1600272680",POW,CRT,"20210531","0000008027",USD,B737NG,"645242-1",24139.99,48279.98
MU,2,"1600274340",POW,CRT,"20210603","0000008027",USD,B737NG,"645242-1",25410.52,50821.04
MU,1,"1600286552",POW,CRT,"20210713","0000001614",USD,B737NG,"645242-1",25200,25200
MU,2,"1600300321",POW,CRT,"20210827","0000008027",USD,B737NG,"645242-1",24139.99,48279.98
MU,2,"1600351274",POW,CRT,"20220221","0000008027",USD,B737NG,"645242-1",27204.87,54409.74
MU,1,"1600351584",POW,CRT,"20220222","0000008027",USD,B737NG,"645242-1",27204.87,27204.87
MU,1,"11KG78012",POW,EXP,"20111225","0000001132",USD,B737NG,"65-52810-64",24801,24801
MU,2,"16GX78786",POW,CRT,"20160721","0000001132",USD,B737NG,"65-52810-64",30750,61500
MU,1,"1600200683",POW,EXP,"20201012","0000008027",USD,B737NG,"67200060-1",23654,23654
MU,2,"1600237726",POW,EXP,"20210203","0000008027",USD,B737NG,"67200060-1",24481.89,48963.78
MU,2,"1600302124",POW,CRT,"20210903","0000001614",USD,B737NG,"67200060-1",24482,48964
MU,2,"1600355427",POW,CRT,"20220307","0000001614",USD,B737NG,"67200060-1",26859.08,53718.16
MU,1,"1600461747",POW,EXP,"20230227","0000001614",USD,B737NG,"67200060-1",30057.92,30057.92
MU,1,"1600475218",POW,EXP,"20230404","0000001614",USD,B737NG,"67200060-1",30057.92,30057.92
MU,1,"1600484189",POW,EXP,"20230425","0000001614",USD,B737NG,"67200060-1",30057.92,30057.92
MU,1,"7800000027",PON, ,"20150615","0000003135",RMB, ,"67600014-1",255103.29,255103.29
MU,1,"7800000074",PON, ,"20150617","0000001345",RMB, ,"67600014-1",579.14,579.14
MU,1,"7800000111",PON, ,"20150617","0000001345",RMB, ,"67600014-1",1879.04,1879.04
MU,1,"7800000065",PON, ,"20150617","0000001345",RMB, ,"67600014-1",579.14,579.14
MU,1,"7800000150",PON, ,"20150619","0000001345",RMB, ,"67600014-1",2321.59,2321.59
MU,2,"2100050102",PON,CRT,"20180713","1000000280",RMB,B737NG,"67600014-1",302847,605694
MU,1,"13GX78300",POW,AOG,"20130729","0000003135",USD,B737NG,"67600014-1",32950,32950
CA,1,"4010020778",POW,CRT,"20130905",OS70210001,USD, ,"67600014-1",32950,32950
MU,2,"13SP95409",POW,EXP,"20131127","0000003135",USD,B737NG,"67600014-1",32950,65900
MU,1,"14MG73364",POW,CRT,"20140724","0000003135",USD,B737NG,"67600014-1",33938.5,33938.5
CA,2,"4010024606",POW,CRT,"20140827",OS70210001,USD, ,"67600014-1",33938.5,67877
MU,1,"14MG73589",POW,CRT,"20141229","0000003135",USD,B737NG,"67600014-1",35540.5,35540.5
MU,1,"14GX73473",POW,CRT,"20141229","0000003135",USD,B737NG,"67600014-1",33938.5,33938.5
MU,2,"15GX73361",POW,CRT,"20150618","0000003135",USD,B737NG,"67600014-1",35540.5,71081
MU,1,"15GX73387",POW,CRT,"20150702","0000003135",USD,B737NG,"67600014-1",35540.5,35540.5
MU,2,"15GX73534",POW,CRT,"20151124","0000003135",USD,B737NG,"67600014-1",35540.5,71081
MU,1,"17GX78491",POW,CRT,"20170621","0000003135",USD,B737NG,"67600014-1",39104.07,39104.07
MU,1,"17GX73342",POW,CRT,"20170714","0000003135",USD,B737NG,"67600014-1",39104.07,39104.07
MU,2,"18GX78190",POW,CRT,"20180227","0000008027",USD,B737NG,"67600014-1",41059.27,82118.54
MU,2,"1600075185",POW,EXP,"20190807","0000001640",USD,B737NG,"67600014-1",42406,84812
MU,2,"1600075185",POW,EXP,"20190807","0000001640",USD,B737NG,"67600014-1",42406,84812
MU,1,"1600117757",POW,EXP,"20191210","0000003131",USD,B737NG,"67600014-1",40488.54,40488.54
MU,1,"18ZX95031",POW,NOR,"20180213","0000001636",USD,B737NG,"69-2914-15",4500,4500
MU,1,"18ZX95031",POW,NOR,"20180213","0000001636",USD,B737NG,"69-2914-25",1940,1940
MU,1,"13MX73261",POW,EXP,"20130806","0000001143",USD,B737NG,"69-2914-20",2773,2773
MU,4,"18GX73166",POW,EXP,"20180423","0000001143",USD,B737NG,"69-2914-20",2495,9980
MU,1,"17GX78600",POW,EXP,"20170808","0000001143",USD,B737NG,"69-2914-24",4655,4655
MU,1,"17GX78603",POW,EXP,"20170809","0000001143",USD,B737NG,"69-2914-24",4655,4655
MU,2,"17GB70154",POW,EXP,"20170822","0000001143",USD,B737NG,"69-2914-24",4655,9310
MU,4,"17GB70154",POW,EXP,"20170822","0000001143",USD,B737NG,"69-2914-25",2100,8400
MU,1,"18ZX95029",POW,EXP,"20180212","0000001143",USD,B737NG,"69-2914-24",4795,4795
MU,1,"1600041647",POW,CRT,"20190513","0000001143",USD,B737NG,"69-2914-24",4981,4981
MU,1,"7800000120",PON,CRT,"20150617","1000000063",RMB, ,"7121-19971-01AC",6410.25,6410.25
MU,1,"7800000006",PON,CRT,"20150611","1000000010",RMB, ,"7123-19973-02AC",51964.1,51964.1
MU,1,"11SG77136",POW,EXP,"20111206","0000001325",USD,B737NG,"720737-6",10498.45,10498.45
MU,1,"11SG77136",POW,EXP,"20111206","0000001325",USD,B737NG,"824392-2-003",54877.7,54877.7
MU,1,"11SG77136",POW,EXP,"20111206","0000001325",USD,B737NG,"824392-2-003",54877.7,54877.7
MU,1,"11SG77136",POW,EXP,"20111206","0000001325",USD,B737NG,"824392-2-003",54877.7,54877.7
MU,1,"11SG77136",POW,EXP,"20111206","0000001325",USD,B737NG,"824392-2-003",54877.7,54877.7
MU,1,"11SG77136",POW,EXP,"20111206","0000001325",USD,B737NG,"824392-2-003",54877.7,54877.7
CA,1,"4010009893",POW, ,"20101103",OS73030001,USD, ,"824392-2-003",57766,57766
CA,1,"4010012422",POW, ,"20110602",OS73030001,USD, ,"824392-2-003",55744.19,55744.19
CA,1,"4010016015",POW, ,"20120503",OS73030001,USD, ,"824392-2-003",58444.95,58444.95
MU,1,"13GX78365",POW,NOR,"20130826","0000001404",USD,B737NG,AW2835AB06,14366.8,14366.8
