CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT,PNR_ID,CHID,剩余数量,拆换_CHID,拆换飞机号,拆换部件号,拆换日期,拆换时间,故障描述
MU,1,1500006648,HQY,CRT,20230301,1000000141,RMB,B737NG,3214972-1,5000.0,5000.0,20230302,20230310.0,8.0,21-6X-18,,1,,,,,,
MU,1,1500007509,HQY,CRT,20230614,1000000575,RMB,B737NG,21933-01AD,25140.16,25140.16,20230614,20230630.0,16.0,21-3x-02,157548159T00225460001,0,157548159T00225460001,B20A1,21933-01AD,20230623,161120, 
MU,1,1500007521,HQY,AOG,20230615,1000000152,RMB,B737NG,607518-2,2000.0,2000.0,20230615,20230626.0,11.0,21-5X-37,157471806T00170270001,0,157471806T00170270001,B5223,607518-2,20230615,125339, 
MU,1,1500008178,HQY,NOR,20230823,1000000142,RMB,B737NG,3214972-1,200.0,200.0,20230824,20230905.0,12.0,21-6X-18,158164499T00987150001,0,158164499T00987150001,B207Z,3214972-1,20230901,214423, 
MU,1,1500007964,HQY,NOR,20230802,1000000152,RMB,B737NG,67600014-1,12000.0,12000.0,20230802,20230815.0,13.0,21-5X-11,158028146T01229950001,0,158028146T01229950001,B1306,67600014-1,20230815,134727, 
MU,1,4100008798,HQY,AOG,20171211,1000000575,RMB,B737NG,67600014-1,66923.17,66923.17,20171212,20180316.0,94.0,21-5X-11,146707347T08310780001,0,146707347T08310780001,B5689,67600014-1,20171213,121220,17MW65651
MU,1,1600152033,HQY,AOG,20200412,1000000012,RMB,B737NG,645242-1,11812.63,11812.63,20200413,20200506.0,23.0,21-2x-28,151110113T00882740001,0,151110113T00882740001,B7636,645242-1,20200417,100832, 
MU,1,1600181227,HQY,CRT,20200801,1000000141,RMB,B737NG,3290206-1,6473.39,6473.39,20200801,20200814.0,13.0,21-5X-36,151584407T00108410001,0,151584407T00108410001,B6108,3290206-1,20200804,90809,1600183207
MU,1,1600181721,HQY,AOG,20200803,1000000031,RMB,B737NG,4101054,10000.0,10000.0,20200811,20200814.0,3.0,21-2x-25,151629867T00067780001,0,151629867T00067780001,B5140,4101054,20200812,93739, 
MU,1,1600195976,HQY,AOG,20200922,1000000142,RMB,B737NG,3202444-1,1234.97,1234.97,20200923,20200927.0,4.0,21-6X-17,151868160T00226710001,0,151868160T00226710001,B5610,3202444-1,20200925,100520, 
