CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT
MU,1,4100002607,HQY,NOR,20130924,1000000155,RMB,B737NG,HG2050AC07,1,1,20130926,20131211,76.0
MU,1,4100002609,HQY,AOG,20130924,1000000142,RMB,B737NG,3810056-108,119894.34,119894.34,20130924,20131018,24.0
MU,1,4100002573,HQY,AOG,20130908,1000000141,RMB,B737NG,5145-1-64,1,1,20130910,20140307,178.0
MU,1,4100002574,HQY,CRT,20130908,1000000142,RMB,B737NG,66087,149407.55,149407.55,20130909,20131023,44.0
MU,1,4100002575,HQY,CRT,20130908,1000000142,RMB,B737NG,761574B,277700.94,277700.94,20130909,20130917,8.0
MU,1,4100002577,HQY,CRT,20130910,1000000155,RMB,B737NG,3876287-1,29076.83,29076.83,20130910,20140617,280.0
MU,1,4100002610,HQY,CRT,20130925,1000000155,RMB,B737NG,B42365-1,5720.08,5720.08,20130925,20131113,49.0
MU,1,4100002611,HQY,CRT,20130925,1000000225,RMB,B737NG,3291214-2,1,1,20130925,20131113,49.0
MU,1,4100002613,HQY,AOG,20130925,1000000106,RMB,B737-300,761574B,1,1,20130925,20130929,4.0
MU,1,4100002697,HQY,AOG,20131101,1000000152,RMB,B737NG,251A2160-2,1,1,20131101,20131220,49.0
MU,1,4100002805,HQY,CRT,20131210,1000000142,RMB,B737NG,2233000-816-1,54930.19,54930.19,20131210,20131210,1.0
MU,1,4100002707,HQY,AOG,20131104,1000000106,RMB,B737NG,251A2420-7,1,1,20131104,20140117,74.0
MU,1,4100002789,HQY,AOG,20131204,1000000155,RMB,B737NG,822-1567-102,158533.79,158533.79,20131206,20131226,20.0
MU,1,4100002710,HQY,NOR,20131104,1000000155,RMB,B737NG,HG2050AC07,1,1,20131106,20131203,27.0
MU,1,4100002709,HQY,CRT,20131104,1000000155,RMB,B737NG,HG2050AC07,443035.84,443035.84,20131105,20131210,35.0
MU,1,4100002808,HQY,CRT,20131211,1000000142,RMB,B737NG,HG2050AC07,57379.25,57379.25,20131211,20131213,2.0
MU,1,4100002813,HQY,CRT,20131212,1000000155,RMB,B737NG,107484-7,8737.86,8737.86,20131212,20131230,18.0
MU,1,4100002711,HQY,CRT,20131105,1000000142,RMB,B737NG,1153426-1M412,16707.54,16707.54,20131106,20131204,28.0
MU,1,4100002757,HQY,AOG,20131121,1000000106,RMB,B737NG,398908-3,1,1,20131121,20140103,43.0
MU,1,4100002758,HQY,AOG,20131121,1000000012,RMB,B737NG,21230-03AC,1,1,20131122,20140120,59.0
MU,1,4100002821,HQY,AOG,20131216,1000000106,RMB,B737NG,B42365-1,1,1,20131217,20140225,70.0
MU,1,4100002715,HQY,CRT,20131106,1000000106,RMB,B737NG,285A1300-1,17851.2,17851.2,20131106,20131202,26.0
MU,1,4100002714,HQY,CRT,20131106,1000000106,RMB,B737NG,5145-1-64,7540.01,7540.01,20131106,20131119,13.0
MU,1,4100002765,HQY,CRT,20131125,1000000106,RMB,B737NG,241-280-056-014,23637.21,23637.21,20131125,20131203,8.0
