"id","pn","num","company_name","aog_status","create_time"
9352,"2215510-1",1.0000,北京飞机维修工程有限公司重庆分公司,Confirm,"2021-10-07 23:34:54"
9353,"2215490-1",1.0000,北京飞机维修工程有限公司重庆分公司,Confirm,"2021-10-07 23:34:54"
10552,"645405-2",1.0000,瑞丽航空有限公司,Done,"2021-10-15 11:15:00"
11102,"67600014-1",1.0000,瑞丽航空有限公司,Confirm,"2021-10-19 14:31:36"
11431,"116817-5",1.0000,海航航空技术有限公司,Confirm,"2021-10-21 10:25:21"
11684,"69-2914-25",1.0000,北京飞机维修工程有限公司重庆分公司,Confirm,"2021-10-22 17:13:30"
11856,"398908-5",1.0000,东海航空有限公司,Confirm,"2021-10-23 18:50:18"
11904,"645405-2",1.0000,山东航空股份有限公司,Done,"2021-10-24 08:23:52"
12235,"213A3420-8",1.0000,海航航空技术有限公司,Confirm,"2021-10-26 07:36:18"
12255,WL501RC1,1.0000,中国邮政航空有限责任公司,Confirm,"2021-10-26 10:00:01"
12482,"2215280-1",1.0000,幸福航空有限责任公司,Confirm,"2021-10-27 14:38:02"
12653,"213A3420-7",1.0000,海航航空技术有限公司,Confirm,"2021-10-28 14:13:18"
12654,"213A3420-8",1.0000,海航航空技术有限公司,Confirm,"2021-10-28 14:13:18"
13128,AW2835AB06,1.0000,厦门航空有限公司,Doing,"2021-11-01 00:03:31"
13509,"3202444-1",1.0000,深圳航空有限责任公司,Confirm,"2021-11-03 11:10:55"
13670,"645242-1",1.0000,昆明航空有限公司,Confirm,"2021-11-04 13:48:12"
13736,"396608-1",1.0000,九元航空有限公司,Done,"2021-11-04 17:07:21"
14250,"214C50-2",1.0000,中国邮政航空有限责任公司,Confirm,"2021-11-08 21:21:55"
14251,"396608-1",1.0000,厦门航空有限公司,Confirm,"2021-11-08 21:23:15"
14556,"7123-19973-03AB",1.0000,昆明飞安航空训练有限公司,Done,"2021-11-10 18:28:04"
15206,"398908-3",1.0000,东海航空有限公司,Confirm,"2021-11-15 14:00:49"
15425,"645242-1",1.0000,昆明航空有限公司,Confirm,"2021-11-16 13:50:20"
15772,"1019439-1-001",1.0000,山东航空股份有限公司,Confirm,"2021-11-18 17:34:24"
15781,"541674-4",1.0000,九元航空有限公司,Done,"2021-11-18 20:51:04"
15861,WL501RC1,1.0000,中国邮政航空有限责任公司,Doing,"2021-11-19 12:34:10"
16396,"65-52810-64",1.0000,中原龙浩航空有限公司,Confirm,"2021-11-23 22:57:35"
16631,"645242-1",1.0000,瑞丽航空有限公司,Done,"2021-11-25 08:55:39"
16665,"645242-1",1.0000,瑞丽航空有限公司,Done,"2021-11-25 12:49:15"
16797,"622814-5",1.0000,中原龙浩航空有限公司,Confirm,"2021-11-25 19:38:25"
16879,"645242-1",1.0000,北京飞机维修工程有限公司呼和浩特分公司,Confirm,"2021-11-26 15:12:25"
17041,"541674-4",1.0000,九元航空有限公司,Confirm,"2021-11-27 17:56:43"
18364,"398908-3",1.0000,九元航空有限公司,Confirm,"2021-12-06 15:37:33"
18810,"645242-1",1.0000,北京飞机维修工程有限公司呼和浩特分公司,Done,"2021-12-08 16:10:39"
21590,"67600014-1",1.0000,幸福航空有限责任公司,Confirm,"2021-12-24 14:52:52"
21714,"67600014-1",1.0000,厦门航空有限公司,Confirm,"2021-12-25 11:21:36"
21771,"541674-4",1.0000,北京飞机维修工程有限公司重庆分公司,Doing,"2021-12-25 23:43:10"
21958,"7121-19971-01AC",1.0000,中国邮政航空有限责任公司,Cancel,"2021-12-27 13:17:12"
21985,"7121-19971-01AC",1.0000,中国邮政航空有限责任公司,Done,"2021-12-27 14:20:45"
22493,"1150002-1",1.0000,苏南瑞丽航空有限公司,Confirm,"2021-12-29 17:21:17"
22494,"1150250-1",1.0000,苏南瑞丽航空有限公司,Confirm,"2021-12-29 19:08:19"
22742,WL501RC1,1.0000,中原龙浩航空有限公司,Confirm,"2021-12-31 07:46:26"
